geneName,zy,zy,zy,zy,early2cell,early2cell,early2cell,early2cell,early2cell,early2cell,early2cell,early2cell,mid2cell,16cell
gene25,7.597101,6.168796,11.028663,7.317962,5.656489,1.764392,1.501745,0.942955,2.823651,9.475507,3.849077,2.025245,0.000000,0.000000
gene26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene27,0.559525,9.563603,12.046965,9.751146,8.553283,10.656022,11.012436,10.928985,6.963547,8.359885,6.915281,5.446554,4.052938,0.000000
gene28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene29,0.000000,0.231638,0.196165,2.819080,0.000000,2.049696,2.126726,3.874371,0.608508,0.524177,1.151277,0.218224,5.797815,0.000000
gene30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.847738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene31,22.552707,31.153301,21.878650,21.369915,46.565686,27.260292,35.680693,28.822980,26.866074,22.872332,29.961642,42.037426,26.385646,8.939426
gene32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.800975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene33,3.331717,4.843674,3.002382,5.901299,7.511680,4.473597,4.488452,7.546898,8.050088,9.245938,7.009926,6.515267,15.991735,0.016778
gene34,0.542989,1.397471,2.860707,1.860034,3.200046,2.039382,0.494535,3.546835,2.619304,1.442555,0.916851,1.077931,0.639255,0.000000
gene35,43.984546,35.048259,37.325446,44.663214,39.446967,53.323410,49.780140,59.216735,68.874620,45.047461,47.908411,51.140470,108.274321,0.115122
gene36,6.248246,4.183787,3.411541,2.911782,4.091253,5.057490,1.027395,1.618249,4.813638,0.717469,1.959830,3.610696,6.301956,0.000000
gene37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278710,0.079499,0.000000,0.000000,0.000000
gene38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene40,36.680764,46.430880,39.876241,44.432025,19.907892,25.559707,35.649458,33.539032,25.662184,30.264814,26.344888,21.398609,89.765090,0.365990
gene41,0.019104,0.324346,0.148783,0.953945,0.000000,1.219769,0.434278,0.000000,0.230764,0.599407,1.266613,0.038195,0.000000,0.000000
gene42,1.604559,0.000000,0.388827,2.390345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.153471,0.000000,0.000000
gene43,0.104279,0.016393,0.041648,0.029926,0.053788,0.043517,0.000000,0.039170,0.032298,0.044515,0.069837,0.000000,0.384670,0.000000
gene44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene45,1.593245,4.255682,1.689358,2.233551,0.261815,5.895718,10.897558,2.955259,4.166143,4.586402,3.739268,1.766572,0.000000,0.000000
gene46,5.493666,6.055857,4.567742,4.146874,2.696291,4.293404,3.063545,3.701923,9.961787,7.440603,10.089839,1.989660,2.333575,0.000000
gene47,1.650385,0.236282,1.412456,2.765653,0.547253,1.106890,2.966929,3.487106,0.328611,0.792594,0.858566,0.000000,2.217773,0.000000
gene48,0.796564,3.250356,1.597612,2.504644,1.393401,0.000000,3.036719,0.039028,0.772337,1.086659,2.331020,0.669361,0.076654,0.000000
gene49,3.891060,0.034408,0.203969,0.000000,0.225792,0.000000,0.039488,0.000000,0.000000,0.373735,0.122151,0.632094,1.937723,0.000000
gene50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142021,0.278507,0.000000,0.000000,0.000000
gene51,2.880992,1.969937,3.244205,4.278457,2.912470,2.149642,1.340401,5.981132,0.543438,0.792889,0.845854,1.210344,2.594454,0.000000
gene52,26.364974,20.556753,23.004482,19.556950,22.257876,22.449685,23.874659,16.629083,32.393376,26.662375,24.253721,30.696912,23.629182,0.000000
gene53,0.000000,0.000000,0.000000,0.000000,0.174692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene55,28.524267,29.312260,30.757893,26.215097,33.849120,29.297566,25.518425,37.859604,24.409203,31.108059,31.935181,34.622867,37.227529,0.032078
gene56,1.602482,4.184380,3.547198,6.874839,1.176818,5.032562,1.528873,5.998959,2.136765,2.631965,3.383307,3.149633,5.771032,0.000000
gene57,0.143309,0.168969,0.128779,0.123387,0.110876,0.089709,0.000000,0.161496,0.133155,0.183529,0.287917,0.000000,0.317191,0.000000
gene58,0.000000,0.000000,0.021684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene59,0.400722,0.000000,0.731630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.268813,0.306706,0.000000,0.000000,0.000000
gene60,0.046650,1.320032,3.040637,2.313366,3.509825,0.537306,1.090758,0.000000,2.947541,0.979774,1.443368,0.000000,0.047811,0.000000
gene61,11.910515,9.473361,9.763983,13.638445,11.689809,9.950758,8.377959,14.043129,10.122877,14.864944,16.325127,18.075293,12.378789,0.000000
gene62,0.000000,0.411655,0.000000,0.127611,0.050970,0.000000,0.000000,0.000000,0.795753,0.000000,0.000000,0.000000,0.036451,0.000000
gene63,65.478054,55.911731,85.060093,64.525142,36.618166,16.365653,47.948601,66.212998,36.657366,54.558478,52.527294,47.737135,6.528393,0.000000
gene64,0.000000,0.000000,0.380589,0.000000,0.000000,0.000000,0.114616,0.000000,1.180596,2.847546,0.921823,0.000000,0.000000,0.000000
gene65,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene66,0.000000,0.000000,0.000000,0.000000,0.000000,0.210663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene67,0.000000,0.000000,0.000000,0.000000,0.000000,0.114670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene68,2.674347,7.395931,7.251494,7.560000,10.416269,11.813404,8.783391,10.537612,2.986469,7.331377,6.871742,9.723986,0.000000,0.000000
gene69,0.022368,0.147688,0.080402,0.000000,1.453745,0.028004,0.181601,0.000000,0.041568,0.000000,0.000000,0.029815,25.347952,0.000000
gene70,0.096712,0.000000,0.188300,0.000000,0.000000,0.211886,0.000000,0.000000,0.000000,0.913430,0.291460,0.128908,0.000000,0.252414
gene71,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene72,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene74,9.747951,4.815205,4.210868,1.758060,4.590132,6.593080,8.934993,12.183797,5.592386,3.564841,6.024470,13.623420,0.000000,0.000000
gene75,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046078,0.072288,0.000000,0.000000,0.000000
gene76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene77,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene78,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene79,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene80,49.353461,78.292805,83.554090,74.525998,101.568548,83.269864,94.353172,77.248669,109.610002,98.389894,105.214751,91.065473,29.552878,3.064907
gene81,0.000000,0.036101,0.779589,0.395416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.964886,0.000000
gene82,160.395815,206.981544,182.977707,136.030271,173.976090,70.629736,160.768411,197.865525,183.733355,198.794449,169.098558,143.733032,166.950939,718.370355
gene83,0.916361,0.000000,1.186978,0.756950,0.900622,0.000000,1.025470,8.833180,0.759419,0.919808,1.579854,0.676734,11.045384,0.000000
gene84,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene85,0.447067,0.030120,0.076523,0.696484,0.296487,0.053305,0.069136,0.000000,0.000000,0.136319,0.106931,0.893848,0.000000,0.000000
gene86,0.014703,0.152551,3.347181,0.962045,0.000000,1.583042,0.811718,0.033137,2.076608,1.374564,2.067828,0.881901,0.000000,0.000000
gene87,0.000000,0.000000,0.000000,0.960366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene88,7.130561,9.735630,5.492534,5.032782,0.865374,0.000000,2.413996,3.715952,2.896184,2.261969,3.575187,3.415286,0.000000,0.000000
gene89,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene90,0.479384,0.034782,0.780571,0.370392,0.057062,0.000000,0.039918,0.373991,0.605337,0.377802,0.580357,0.876541,0.163234,0.000000
gene91,21.333335,16.619086,18.627394,27.093734,41.680401,38.660610,37.183046,21.155064,28.022351,25.744584,27.282598,42.100836,42.055765,0.067629
gene92,8.870433,7.425398,5.867224,4.006435,4.170029,8.215750,4.740337,5.736065,3.558907,3.938461,4.574532,4.464975,4.887531,0.018607
gene93,6.725215,5.850263,14.730178,10.106964,3.260545,9.381577,5.170622,7.194691,5.623347,9.819926,6.381921,3.716556,0.000000,0.000000
gene94,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene95,0.000000,0.009835,0.137430,0.861817,1.516729,0.052218,0.677249,2.843570,0.000000,1.268610,2.325421,0.764420,0.000000,0.000000
gene96,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene97,20.839850,21.748908,22.976326,22.420223,27.253883,59.317832,32.812129,20.272032,49.981881,54.726945,50.426747,49.346200,47.720514,0.000000
gene98,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene99,0.000000,0.000000,0.000000,0.000000,3.732549,7.046256,0.000000,0.000000,0.000000,2.702949,2.019263,0.000000,0.000000,0.000000
gene100,23.566031,16.205911,13.970539,16.933694,14.396675,13.977220,18.854854,15.801848,14.681309,15.198555,19.122584,15.805793,6.977156,0.038367
gene101,0.000000,0.053965,0.114252,0.032838,0.413156,3.963427,0.000000,0.000000,0.035441,0.024424,0.000000,0.000000,0.000000,0.000000
gene102,0.000000,0.000000,0.052804,0.000000,0.000000,0.000000,2.862359,0.000000,0.000000,0.000000,0.000000,2.408404,0.000000,0.000000
gene103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene104,0.000000,0.000000,0.000000,0.363211,0.309232,0.055597,0.648967,0.000000,0.000000,0.028436,0.133832,0.000000,0.000000,0.000000
gene105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349818,0.000000,0.000000,0.000000,13.333174,0.000000
gene106,34.330924,27.822283,32.549992,37.432726,9.630418,18.156293,25.662979,27.694289,36.875351,30.194361,29.427653,19.735380,18.515781,0.000000
gene107,42.872917,21.751659,35.836112,29.726431,22.574207,14.595051,13.136778,16.582853,36.226074,33.979523,26.877870,35.493076,14.099688,0.000000
gene108,24.954672,30.593855,44.349995,31.035027,65.669866,59.017840,69.370590,64.426110,48.471852,68.276060,60.842841,49.956541,32.904332,138.774071
gene109,54.145455,62.443711,64.935533,56.313086,93.285648,129.134243,81.670001,100.473635,101.798727,93.789915,94.331748,103.133667,208.102881,0.000000
gene110,5.081637,5.518494,7.669538,9.749620,4.830078,1.151569,2.179124,8.581115,8.462793,6.324401,4.695848,1.758658,0.000000,0.000000
gene111,0.000000,0.071099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene112,9.782712,6.948860,10.325383,9.743045,11.586392,4.482789,8.740022,8.568848,8.689417,10.339987,10.775399,12.718498,1.333725,2.790745
gene113,5.282962,6.196833,8.926750,7.728972,8.765730,10.329546,15.536724,11.476365,14.005695,11.394426,11.331679,15.560663,12.783038,0.193588
gene114,0.215413,0.050796,0.150559,0.711715,0.000000,2.342251,0.070648,3.383035,0.000000,0.640783,1.486060,0.000000,0.000000,0.000000
gene115,0.000000,0.000000,0.030969,0.000000,0.000000,0.000000,0.083939,6.231591,0.000000,0.000000,0.000000,0.137808,0.000000,0.000000
gene116,20.993950,10.802832,19.977955,14.616455,5.479667,5.801333,7.425619,0.182421,0.451253,2.500735,2.479959,5.542650,8.778154,0.000000
gene117,18.163498,14.802010,18.114925,12.327439,6.595916,7.340322,12.288715,7.116792,14.096734,5.536812,6.466649,5.403243,14.016560,0.000000
gene118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene119,11.306186,10.106479,3.590839,5.384752,10.457865,1.581117,6.008197,2.281588,7.146306,10.320421,10.068980,10.322614,0.532426,0.029897
gene120,13.861540,24.356262,13.831122,22.404495,9.469440,10.079594,15.557110,33.312918,22.069674,11.983055,10.804554,15.190799,1.573323,0.000000
gene121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene123,0.000000,0.000000,0.000000,0.000000,0.000000,0.096779,0.000000,0.261335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene124,8.629505,3.461438,6.007158,7.819252,4.166573,4.812798,9.962587,11.266421,3.887204,11.475446,10.576823,5.515819,26.176120,0.000000
gene125,0.000000,0.036930,0.046910,0.000000,30.170663,3.137059,3.305724,0.088240,7.421253,1.002806,2.517121,1.565571,176.258206,0.000000
gene126,0.000000,0.184992,0.000000,3.419301,0.000000,0.000000,0.000000,0.000000,3.918139,0.000000,0.000000,0.065355,0.000000,0.000000
gene127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109782,0.000000,0.000000,0.000000,0.784544,0.000000
gene128,1.718363,0.000000,1.315400,1.808169,1.329520,0.000000,0.000000,0.035859,0.000000,0.264892,0.959005,1.039170,0.000000,0.000000
gene129,0.000000,0.000000,0.000000,0.000000,1.066672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene130,3.394426,2.848105,3.732251,1.760486,6.792547,2.747762,1.970040,0.706649,3.628591,5.412065,6.628125,4.070188,2.495715,0.832712
gene131,32.998280,22.792875,22.076561,20.151609,32.592465,24.599543,43.659497,14.625461,32.511349,35.825217,41.295515,44.661340,13.580851,0.000000
gene132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene133,11.839297,16.455670,20.339982,14.064936,4.338123,3.841306,7.324847,4.548354,8.408724,6.683501,7.081892,10.339900,5.052827,1.811346
gene134,65.703304,51.659718,69.942261,46.590403,18.942631,13.589658,31.391335,35.580224,18.957542,33.713288,20.614846,11.511391,22.271348,137.310629
gene135,28.376542,32.835616,48.744434,31.438755,19.719578,35.217823,30.786613,26.193840,34.049400,27.935564,28.423704,36.863410,0.847365,0.000000
gene136,95.968052,81.948866,96.183102,91.173564,95.130461,74.904722,85.531451,103.680505,75.396089,86.643162,95.645502,85.058183,13.164594,0.000000
gene137,144.451600,273.526454,228.604926,215.007792,275.062980,375.350825,283.004535,279.301696,317.536585,256.549388,252.245768,308.006488,44.733583,10.535879
gene138,0.073940,0.836899,1.523782,1.604173,0.091533,0.703520,0.240118,0.000000,0.329777,0.000000,0.000000,0.000000,0.065460,0.044110
gene139,70.671651,55.420186,55.609101,50.724017,38.037980,36.858054,27.846998,11.072107,18.724105,29.032535,24.873148,15.834711,18.978909,0.000000
gene140,6.652304,7.260929,3.145580,6.512592,7.711858,9.999577,7.478069,4.763577,8.455266,8.049219,11.353852,7.962414,5.712155,0.000000
gene141,35.348674,28.781205,52.187495,37.639182,33.951402,17.701878,35.230058,84.337772,28.315106,28.202497,22.122376,31.356820,0.000000,467.928990
gene142,23.216378,39.912324,40.701611,30.637556,54.778126,35.485840,41.987007,49.452417,49.007010,37.374365,39.276487,74.815418,11.350084,0.000000
gene143,0.103876,0.440906,0.031115,0.000000,0.000000,0.000000,0.084333,0.000000,0.000000,0.000000,0.000000,0.796122,0.114955,0.000000
gene144,120.339040,158.653349,177.812082,198.988102,88.673966,61.072726,111.776179,73.764899,121.374125,117.560980,109.522663,92.293978,71.383650,100.262497
gene145,0.000000,0.042481,0.040473,0.000000,4.181616,0.000000,0.036565,3.628838,0.000000,1.009381,1.651407,0.000000,0.149525,0.000000
gene146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.223635,0.000000,0.000000,0.000000,0.000000,0.000000
gene147,0.046438,0.262811,0.111279,0.039982,6.682668,0.000000,0.000000,0.052331,1.639614,0.000000,0.000000,0.154742,7.914201,0.000000
gene148,0.439715,5.273293,4.410489,2.833912,7.387413,6.574584,1.591151,9.683708,3.852253,6.210475,9.440151,6.296371,0.222452,0.000000
gene149,337.117869,296.226863,335.377610,325.412642,110.066553,95.542800,174.177949,175.979274,173.901224,170.258606,185.270023,161.436760,83.902028,497.861210
gene150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene151,0.924315,0.771072,2.615668,0.679814,0.287499,1.174639,3.303385,0.073278,1.372452,2.052203,1.913063,1.553961,0.328971,41.577580
gene152,247.948976,205.816412,184.739879,192.406933,258.164641,152.474118,209.682666,185.758544,166.334870,179.122762,204.017601,152.708698,61.726443,440.892886
gene153,0.083174,0.033622,0.128130,0.388733,0.000000,0.029751,0.000000,0.000000,0.044163,0.121735,0.119363,0.047513,0.000000,0.000000
gene154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene155,8.138180,6.422660,4.072272,3.705752,11.100975,11.896489,7.103663,2.783038,10.184510,7.500409,7.513753,11.678230,9.422603,0.280632
gene156,22.595890,14.043834,14.636117,19.859984,11.357697,0.328177,0.681021,2.185911,6.868697,5.505546,7.899908,24.003717,75.887626,0.000000
gene157,69.420453,63.678089,67.489701,67.567075,69.525001,47.858253,59.603361,58.051266,77.702393,63.677600,57.895978,34.176461,42.347147,0.232465
gene158,0.000000,0.000000,0.000000,0.000000,6.024685,0.042485,0.000000,0.237154,0.000000,0.623259,0.369972,0.192852,0.751079,0.000000
gene159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene161,0.966971,0.260593,0.141868,1.766975,0.020358,0.444711,0.000000,0.014825,0.794580,1.255210,1.136577,0.113982,0.000000,0.000000
gene162,1.635815,1.191066,1.719259,2.668555,2.575636,3.161786,1.397931,0.517448,1.119946,1.653884,2.075669,2.448143,5.970822,0.000000
gene163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene164,6.999308,4.220551,4.010862,6.812000,3.697510,1.326410,7.832951,2.692639,3.120920,8.011076,7.359619,6.324775,6.735478,0.000000
gene165,12.307388,14.602303,14.032494,10.509850,22.016870,13.472815,16.635416,7.820823,15.795617,15.448326,14.607808,18.528865,24.092735,0.000000
gene166,0.000000,0.648720,1.079301,0.115282,2.316906,0.060959,0.079063,0.000000,0.373259,0.085741,0.110056,0.000000,4.014401,0.000000
gene167,0.310028,0.056082,0.000000,0.599651,0.000000,0.000000,0.303422,0.124432,0.000000,0.108778,0.153588,0.209449,0.000000,0.000000
gene168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene169,10.412884,1.964430,29.942399,23.310837,3.222412,0.000000,3.381351,2.346916,0.000000,2.667061,2.091950,0.000000,4.609502,143.110495
gene170,0.000000,0.202692,0.096554,0.107923,0.000000,0.112097,0.378007,0.000000,0.000000,0.011467,0.000000,0.334169,0.000000,0.000000
gene171,7.676196,9.939130,7.268466,8.240484,6.703508,8.923102,18.108126,9.829369,17.080201,15.659626,17.745416,15.088998,0.453492,0.000000
gene172,37.587841,33.694763,37.580842,44.463863,34.145971,41.046321,22.131989,41.817099,26.285530,32.355662,32.760311,36.556444,21.410818,0.158080
gene173,5.637656,5.722651,1.095718,2.427071,0.818623,2.738314,0.845248,4.233763,4.087284,3.926278,4.434832,4.671265,6.679876,0.000000
gene174,1.741426,2.663729,1.276869,0.608883,0.247360,0.824767,2.697852,0.038211,1.818403,2.177447,1.308991,0.858731,1.361605,0.007238
gene175,2.638489,5.728677,3.414858,2.721618,6.894654,2.617670,12.852710,5.301390,3.561830,3.410889,4.425896,4.130649,0.055092,0.000000
gene176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene177,0.000000,0.000000,0.162039,0.000000,0.000000,1.789874,0.000000,0.000000,0.000000,0.160825,0.058224,0.000000,0.128282,0.000000
gene178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene179,0.000000,0.000000,0.000000,0.000000,0.000000,0.031199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.688250,0.077369
gene180,6.101832,2.722694,4.383188,2.226819,1.039299,3.917985,8.724457,10.048371,1.195027,6.304577,5.440642,8.237929,5.756319,0.042624
gene181,1.799231,2.558284,1.801847,0.786077,1.163537,0.000000,0.174418,3.631383,0.000000,1.031734,1.618609,0.071588,4.398301,0.000000
gene182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene183,0.000000,7.383600,2.670674,1.854737,5.413034,3.364680,0.069268,0.000000,1.718485,2.239934,1.328486,10.050227,29.930731,0.000000
gene184,44.513741,30.377880,34.706257,34.117737,48.642243,37.655279,34.706982,35.728896,38.492536,26.200632,33.656881,38.541307,56.132383,0.487405
gene185,0.000000,0.000000,0.000000,0.000000,0.101140,0.000000,0.000000,0.000000,0.000000,0.230186,0.787900,0.000000,10.777288,0.000000
gene186,5.851511,6.177417,3.838052,2.430165,2.895568,0.476474,5.252790,11.436688,19.980411,9.910507,5.511837,3.804642,0.701961,0.000000
gene187,0.100594,0.652320,0.000000,0.887710,1.400960,0.000000,1.470056,0.000000,0.140206,0.048310,0.101054,0.000000,0.000000,0.000000
