geneName,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell,4cell
gene61,7.195981,10.436119,6.425050,27.040894,8.856945,9.138953,8.590612,6.649526,6.245427,1.707375,2.140759,9.018646,17.676050,11.750322
gene62,15.477623,0.035135,0.000000,0.332734,0.000000,8.769495,4.690763,21.187857,4.131429,1.564463,6.488577,11.807471,3.813307,11.028294
gene63,1.027989,6.936218,0.985775,5.232817,5.640173,13.142509,6.606472,7.766979,7.370297,1.569587,0.048196,1.955992,1.826099,0.154793
gene64,0.000000,0.000000,0.415194,0.000000,0.134975,9.339602,7.262150,0.000000,3.169838,0.000000,23.851770,0.000000,0.600879,0.000000
gene65,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene66,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene67,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene68,0.000000,7.089709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041298,0.000000
gene69,3.381159,63.133440,19.998609,22.637066,5.389242,127.083456,48.302741,52.673774,51.228980,19.123468,36.698479,56.750255,52.668179,58.226476
gene70,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.864069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene71,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene72,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene73,0.000000,0.000000,0.289044,0.000000,0.000000,0.000000,0.000000,0.554560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene74,0.070632,0.000000,0.000000,0.000000,0.000000,1.630132,0.046557,6.727418,0.000000,0.690212,0.000000,0.000000,0.109786,6.419260
gene75,0.000000,0.000000,0.000000,0.066083,0.000000,0.000000,0.000000,0.000000,0.278574,0.000000,0.000000,0.000000,0.000000,0.000000
gene76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene77,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene78,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene79,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene80,39.915578,0.000000,16.730240,10.619795,23.702130,40.003570,18.469230,0.187768,57.585544,7.012200,3.887844,78.194356,31.515005,0.000000
gene81,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene82,1770.479431,1617.311610,1417.463796,1627.420540,1501.947632,1413.503487,1300.826960,1486.146643,1369.323987,1674.618301,835.943300,1061.855958,851.536375,1143.829303
gene83,0.000000,0.013209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016568,0.000000,0.000000,0.000000,0.000000
gene84,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene85,0.000000,0.000000,0.000000,0.312807,0.000000,0.000000,0.576381,0.000000,0.000000,0.000000,0.367334,0.000000,0.000000,0.000000
gene86,11.949696,9.817950,40.589616,12.314184,41.047676,29.513247,27.610407,31.105860,14.753540,20.261905,0.211415,4.085763,16.971822,9.098737
gene87,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene88,0.000000,0.126756,15.467867,4.733347,0.290798,13.316248,0.253722,9.446844,0.000000,0.026121,48.955414,2.387149,0.033239,20.256695
gene89,0.000000,0.000000,0.000000,0.000000,3.328900,0.000000,0.000000,28.814748,0.000000,11.164135,0.000000,0.000000,0.000000,0.000000
gene90,0.013464,7.054074,1.662924,1.580341,0.047009,2.082562,1.331174,28.612675,8.527289,0.624939,1.820474,8.266086,6.822263,0.000000
gene91,28.841846,193.769302,31.473358,148.164543,53.152503,120.160393,92.996266,6.004365,1.193707,125.279085,125.057864,76.235292,78.137815,42.999490
gene92,28.256645,93.608842,136.646218,37.217587,76.713147,105.453440,73.300735,107.695803,94.835286,10.753942,43.892557,116.631890,108.593146,136.915486
gene93,5.726478,9.074891,5.746517,21.241458,25.356063,35.124003,12.009983,15.471138,3.606278,16.596842,16.447229,0.044024,8.388414,8.438239
gene94,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene95,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene96,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.136340,2.503145,0.000000,0.000000
gene97,3.207132,0.165628,23.746243,7.414847,78.171964,5.297224,0.000000,5.373692,0.686975,17.420922,9.281493,20.649424,2.568016,28.717129
gene98,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene99,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.701861
gene100,6.583667,2.448630,3.071570,0.082210,0.085588,1.134940,3.607809,1.885798,2.485299,6.057011,2.059525,2.807455,6.891069,1.417422
gene101,0.000000,0.000000,0.000000,0.000000,0.072935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene102,0.000000,0.000000,1.900960,0.000000,39.269895,0.000000,0.000000,0.000000,0.000000,0.117926,0.000000,0.000000,0.000000,0.000000
gene103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene104,0.000000,10.373959,5.398311,4.241291,0.212290,1.504769,16.399553,0.267283,25.030904,9.595542,0.000000,12.648847,27.217939,0.000000
gene105,2.474996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.046250,0.000000,0.000000
gene106,61.830889,107.761859,79.002959,76.401249,82.583584,104.814335,56.270474,72.085566,54.507297,39.000037,35.005430,66.201497,65.941305,27.538098
gene107,3.628456,11.551957,13.364601,39.313590,1.096320,10.381971,3.863419,0.958555,9.963328,2.983122,14.564460,10.267428,3.253736,34.518919
gene108,20.417126,3.054299,0.483330,0.034828,12.292029,2.172417,2.669655,0.028533,0.029364,7.890265,3.653657,0.000000,5.326855,4.874832
gene109,29.296029,2.164930,37.311112,33.918223,42.497811,1.491527,12.491413,0.211656,14.438290,0.053771,24.906854,4.076356,11.666213,32.573109
gene110,0.363364,14.846158,0.029565,5.262115,0.576676,2.579101,0.065321,7.578256,1.237551,0.786817,18.603216,6.494874,2.028111,0.487461
gene111,0.000000,0.000000,0.000000,0.000000,0.000000,1.946051,0.489793,0.000000,0.000000,0.000000,28.071929,31.210236,28.361467,30.285392
gene112,0.000000,0.000000,0.062184,0.000000,0.000000,0.000000,0.755632,0.011931,1.338294,0.000000,0.809463,0.000000,0.000000,0.000000
gene113,15.341092,4.924036,0.385688,16.109500,5.266075,0.000000,5.319471,14.045541,15.435233,41.155716,29.446393,0.327980,12.516575,72.629151
gene114,0.000000,18.703481,0.000000,6.112009,1.164755,0.521376,31.404993,0.000000,0.134748,4.948036,0.000000,0.000000,0.916858,5.224209
gene115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene116,54.346518,11.245595,8.133255,3.679376,0.386931,5.583300,19.700698,12.270442,0.376011,0.027073,52.314598,44.028429,35.759752,70.553976
gene117,28.413309,24.144319,16.407731,25.531642,9.547920,19.061522,16.505131,44.242003,20.151808,27.746646,39.851245,31.860293,40.787209,29.781805
gene118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene119,3.399792,4.860329,23.683303,11.710619,48.534059,27.212924,18.694788,13.689163,8.831472,37.682149,18.511872,35.945669,21.476132,38.357948
gene120,0.000000,0.280225,5.635552,1.220451,0.177296,0.000000,1.305358,0.116262,0.000000,0.000000,0.000000,0.000000,0.210475,0.000000
gene121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene123,0.084675,0.000000,0.000000,0.000000,0.000000,8.606747,0.000000,0.000000,0.000000,0.000000,0.000000,0.214814,0.263223,0.000000
gene124,4.710315,34.512925,81.318606,56.319033,18.413831,74.286900,50.025823,27.867339,95.248800,62.600850,77.972485,42.931150,45.315572,59.184028
gene125,0.257332,110.839129,763.491845,2.013553,96.874303,168.934075,54.696321,101.917574,56.627407,0.209530,405.914540,1049.468016,441.152331,593.772380
gene126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene127,0.776654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045756,0.000000,0.000000,0.000000
gene129,0.000000,42.810320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.942086,0.000000,0.039203,0.000000,0.000000,0.000000
gene131,2.869622,10.442944,0.135176,0.031657,0.000000,3.726744,2.127927,0.077805,0.000000,1.083850,1.734847,7.663396,0.000000,0.769451
gene132,0.000000,0.000000,0.000000,0.000000,0.033593,0.708673,0.000000,0.000000,0.190427,0.000000,0.000000,2.050363,0.000000,0.432696
gene133,0.040009,0.194815,0.179043,0.000000,0.000000,7.558916,0.158230,1.758784,0.056562,0.000000,0.367653,0.279133,1.010550,0.759092
gene134,95.420589,122.421838,114.957659,87.969275,107.114690,102.085823,192.591548,43.277027,67.971193,73.410255,191.740066,147.406841,123.697814,86.902812
gene135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024392,0.000000,0.000000,1.303619,0.000000
gene136,46.662735,24.980433,2.883208,19.309295,35.043770,66.757166,57.568754,47.820548,65.050844,56.058049,1.009892,26.286919,29.968380,28.955072
gene137,0.000000,0.000000,0.057998,0.000000,0.056563,0.000000,0.000000,0.000000,0.000000,0.039577,0.000000,0.000000,0.000000,0.000000
gene138,0.000000,0.000000,0.000000,0.000000,0.000000,4.438214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene139,29.233765,13.262850,9.176873,40.554628,18.173076,39.548669,57.768971,51.879448,18.589669,63.434440,47.572619,45.472600,15.693857,21.780175
gene140,0.000000,0.617039,0.000000,0.040863,0.255258,3.302764,0.240944,0.000000,0.000000,0.000000,0.000000,4.636898,1.060596,0.000000
gene141,112.328084,0.000000,5.735758,0.000000,0.310772,30.157858,18.304720,16.140124,55.241033,103.286295,21.499517,0.000000,20.060550,0.625462
gene142,0.510638,8.752185,70.930204,192.541522,48.969825,71.612970,168.795417,78.752624,17.036931,49.441410,114.493571,50.350981,39.103021,34.542834
gene143,0.000000,0.000000,2.240317,2.957295,30.290447,4.441805,0.112494,11.957061,11.501230,14.940187,2.091142,6.061790,36.166974,0.000000
gene144,151.608986,278.358363,457.053377,184.457785,187.823935,184.100440,175.117064,131.107164,244.366840,158.745033,291.562262,276.833153,142.465531,242.360179
gene145,170.071796,162.262009,238.689502,226.159221,149.764976,101.124142,162.787094,305.266051,128.848892,163.179925,124.275344,224.903533,273.205699,218.879270
gene146,0.000000,0.000000,0.417075,0.000000,0.000000,1.630405,0.000000,0.000000,0.000000,0.213455,0.000000,0.000000,0.000000,0.000000
gene147,0.050872,0.198138,3.368780,0.341187,43.065379,1.348814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079065,0.071484
gene148,12.055368,0.000000,0.197059,7.522561,0.000000,2.027222,4.598705,0.604927,0.856008,0.000000,7.912556,4.817813,6.331358,0.000000
gene149,0.000000,0.122905,6.777294,7.195483,1.028161,1.735281,0.332748,13.176353,0.059475,20.914113,17.010022,7.684425,29.033490,30.329924
gene150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene151,0.000000,0.000000,0.000000,4.913855,0.053290,9.608237,9.346058,1.887034,0.546631,4.959125,0.000000,4.698223,3.843210,5.090895
gene152,7.991454,0.903087,1.122908,10.564701,4.380539,4.299174,32.144310,0.000000,1.349565,8.295578,2.076672,8.995408,12.124661,7.091383
gene153,0.000000,0.025349,2.050118,0.000000,0.090882,0.728562,0.180151,0.035758,0.036799,0.699487,0.000000,0.000000,0.404590,0.000000
gene154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene156,169.344882,241.475726,239.298299,34.568426,170.423307,118.009010,86.016287,315.071628,223.821777,259.460788,142.928071,123.687324,312.043081,294.976070
gene157,20.530136,175.575613,45.382929,22.115312,18.255578,17.919887,0.379804,18.293857,63.298075,5.787084,111.501760,73.741855,58.779556,168.620236
gene158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211178,0.075652,0.000000,0.000000,0.000000
gene159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.267613,0.000000
gene160,0.000000,0.468237,0.000000,0.161247,0.000000,0.070830,3.779285,0.000000,19.474451,0.029365,0.000000,0.000000,0.000000,0.878450
gene161,0.000000,0.308736,0.025795,7.515000,0.025157,0.721773,0.042743,0.000000,0.020373,0.017602,1.078294,5.329689,1.679913,0.000000
gene162,0.377272,0.000000,0.000000,0.000000,0.000000,0.000000,0.186477,0.000000,0.000000,0.000000,0.000000,0.637998,0.000000,0.000000
gene163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene164,0.000000,0.000000,0.795555,0.000000,0.086209,7.565641,3.710675,0.000000,5.654862,0.000000,0.000000,8.957669,1.496751,0.000000
gene165,0.000000,0.000000,0.084152,0.039415,0.000000,0.000000,30.050163,0.000000,0.294139,0.000000,0.000000,0.000000,0.000000,0.000000
gene166,0.480001,4.778371,1.742291,7.221533,6.191597,1.296362,3.968037,0.384646,0.000000,8.697007,6.493739,3.585623,0.911880,0.187387
gene167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026306,0.000000,0.036640,0.023603,0.014461,0.078452
gene168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene169,132.348375,142.173687,310.322848,221.888283,211.047459,305.825195,241.323190,322.765364,148.361655,373.364524,290.504500,214.130379,322.695515,92.966392
gene170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene171,0.016030,0.031223,11.822306,6.558794,11.082135,34.761426,7.496828,0.000000,47.659959,34.031849,22.180372,32.535390,20.107851,35.551231
gene172,75.777015,38.021564,22.931070,97.673870,27.363204,48.037345,95.607725,87.073369,48.475396,47.829802,54.561921,62.384999,34.245224,51.999308
gene173,0.495814,0.193138,0.355004,0.166278,9.348029,10.809888,9.510137,9.126897,23.481670,3.906286,9.014635,0.000000,0.000000,22.611561
gene174,0.010612,0.000000,1.576590,0.524919,0.750272,0.343913,2.785586,0.014578,2.355319,0.006481,1.873640,4.697828,1.723630,3.929740
gene175,45.286017,86.424926,26.549278,37.031163,22.989227,26.186999,34.019239,25.543641,24.013242,14.287027,47.459145,59.900794,18.942960,53.912650
gene176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene177,0.000000,0.000000,0.000000,0.070969,0.000000,0.000000,0.020923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene178,0.000000,0.000000,0.000000,0.000000,0.000000,37.546429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene179,3.275735,0.584803,8.012991,18.125521,6.909371,40.211262,18.054654,9.786730,8.451140,17.970938,8.241712,0.484745,30.038970,2.877083
gene180,0.000000,0.289617,0.672432,0.000000,1.174975,1.729348,6.979508,0.000000,7.545711,0.152953,3.246510,0.000000,6.836437,0.021998
gene181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene183,0.000000,26.761919,6.022182,7.756847,4.301768,16.244932,2.591984,0.000000,33.419869,0.000000,0.092010,0.000000,4.430350,7.415572
gene184,14.568096,2.877174,34.624618,24.178543,34.676402,14.042354,12.474287,24.760027,39.246217,19.678144,19.953323,38.089717,17.358020,36.324797
gene185,0.000000,0.278876,0.128149,0.060023,1.187306,0.000000,11.077507,35.601601,12.600732,0.174895,0.000000,0.000000,13.520124,0.000000
gene186,16.987351,0.000000,3.171366,33.028413,80.416115,19.446617,0.103041,59.939122,3.388708,6.619596,33.929045,0.000000,14.632951,1.367027
gene187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
