geneName,4cell,4cell,4cell,4cell,4cell,4cell,4cell
gene45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037728
gene46,10.518159,2.737629,1.575900,1.502391,11.739821,1.804512,0.059395
gene47,0.000000,0.000000,0.000000,0.319163,0.000000,0.000000,0.000000
gene48,0.063610,3.576138,0.223533,0.000000,24.909765,9.224323,0.000000
gene49,1.250662,0.325517,9.535503,0.000000,0.073186,0.000000,0.000000
gene50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene51,0.000000,0.031570,7.246100,0.000000,0.000000,0.000000,0.000000
gene52,25.028995,23.531507,20.355435,4.384695,25.122218,12.671106,12.202502
gene53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene55,0.460889,0.822573,11.904177,4.293744,4.002378,7.094298,0.834545
gene56,58.432525,47.919678,46.455360,65.868201,101.054537,32.441183,70.110598
gene57,0.000000,0.000000,0.000000,0.310396,0.000000,0.000000,0.000000
gene58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene60,0.000000,0.165224,0.000000,4.515016,0.000000,15.186418,0.057803
gene61,27.040894,8.856945,9.138953,8.590612,6.649526,6.245427,1.707375
gene62,0.332734,0.000000,8.769495,4.690763,21.187857,4.131429,1.564463
gene63,5.232817,5.640173,13.142509,6.606472,7.766979,7.370297,1.569587
gene64,0.000000,0.134975,9.339602,7.262150,0.000000,3.169838,0.000000
gene65,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene66,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene67,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene68,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene69,22.637066,5.389242,127.083456,48.302741,52.673774,51.228980,19.123468
gene70,0.000000,0.000000,0.000000,0.864069,0.000000,0.000000,0.000000
gene71,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene72,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene73,0.000000,0.000000,0.000000,0.000000,0.554560,0.000000,0.000000
gene74,0.000000,0.000000,1.630132,0.046557,6.727418,0.000000,0.690212
gene75,0.066083,0.000000,0.000000,0.000000,0.000000,0.278574,0.000000
gene76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene77,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene78,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene79,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene80,10.619795,23.702130,40.003570,18.469230,0.187768,57.585544,7.012200
gene81,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene82,1627.420540,1501.947632,1413.503487,1300.826960,1486.146643,1369.323987,1674.618301
gene83,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016568
gene84,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene85,0.312807,0.000000,0.000000,0.576381,0.000000,0.000000,0.000000
gene86,12.314184,41.047676,29.513247,27.610407,31.105860,14.753540,20.261905
gene87,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene88,4.733347,0.290798,13.316248,0.253722,9.446844,0.000000,0.026121
gene89,0.000000,3.328900,0.000000,0.000000,28.814748,0.000000,11.164135
gene90,1.580341,0.047009,2.082562,1.331174,28.612675,8.527289,0.624939
gene91,148.164543,53.152503,120.160393,92.996266,6.004365,1.193707,125.279085
gene92,37.217587,76.713147,105.453440,73.300735,107.695803,94.835286,10.753942
gene93,21.241458,25.356063,35.124003,12.009983,15.471138,3.606278,16.596842
gene94,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene95,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene96,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene97,7.414847,78.171964,5.297224,0.000000,5.373692,0.686975,17.420922
gene98,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene99,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene100,0.082210,0.085588,1.134940,3.607809,1.885798,2.485299,6.057011
gene101,0.000000,0.072935,0.000000,0.000000,0.000000,0.000000,0.000000
gene102,0.000000,39.269895,0.000000,0.000000,0.000000,0.000000,0.117926
gene103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene104,4.241291,0.212290,1.504769,16.399553,0.267283,25.030904,9.595542
gene105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene106,76.401249,82.583584,104.814335,56.270474,72.085566,54.507297,39.000037
gene107,39.313590,1.096320,10.381971,3.863419,0.958555,9.963328,2.983122
gene108,0.034828,12.292029,2.172417,2.669655,0.028533,0.029364,7.890265
gene109,33.918223,42.497811,1.491527,12.491413,0.211656,14.438290,0.053771
gene110,5.262115,0.576676,2.579101,0.065321,7.578256,1.237551,0.786817
gene111,0.000000,0.000000,1.946051,0.489793,0.000000,0.000000,0.000000
gene112,0.000000,0.000000,0.000000,0.755632,0.011931,1.338294,0.000000
gene113,16.109500,5.266075,0.000000,5.319471,14.045541,15.435233,41.155716
gene114,6.112009,1.164755,0.521376,31.404993,0.000000,0.134748,4.948036
gene115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene116,3.679376,0.386931,5.583300,19.700698,12.270442,0.376011,0.027073
gene117,25.531642,9.547920,19.061522,16.505131,44.242003,20.151808,27.746646
gene118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene119,11.710619,48.534059,27.212924,18.694788,13.689163,8.831472,37.682149
gene120,1.220451,0.177296,0.000000,1.305358,0.116262,0.000000,0.000000
gene121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene123,0.000000,0.000000,8.606747,0.000000,0.000000,0.000000,0.000000
gene124,56.319033,18.413831,74.286900,50.025823,27.867339,95.248800,62.600850
gene125,2.013553,96.874303,168.934075,54.696321,101.917574,56.627407,0.209530
gene126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene130,0.000000,0.000000,0.000000,0.000000,0.000000,1.942086,0.000000
gene131,0.031657,0.000000,3.726744,2.127927,0.077805,0.000000,1.083850
gene132,0.000000,0.033593,0.708673,0.000000,0.000000,0.190427,0.000000
gene133,0.000000,0.000000,7.558916,0.158230,1.758784,0.056562,0.000000
gene134,87.969275,107.114690,102.085823,192.591548,43.277027,67.971193,73.410255
gene135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024392
gene136,19.309295,35.043770,66.757166,57.568754,47.820548,65.050844,56.058049
gene137,0.000000,0.056563,0.000000,0.000000,0.000000,0.000000,0.039577
gene138,0.000000,0.000000,4.438214,0.000000,0.000000,0.000000,0.000000
gene139,40.554628,18.173076,39.548669,57.768971,51.879448,18.589669,63.434440
gene140,0.040863,0.255258,3.302764,0.240944,0.000000,0.000000,0.000000
gene141,0.000000,0.310772,30.157858,18.304720,16.140124,55.241033,103.286295
gene142,192.541522,48.969825,71.612970,168.795417,78.752624,17.036931,49.441410
gene143,2.957295,30.290447,4.441805,0.112494,11.957061,11.501230,14.940187
gene144,184.457785,187.823935,184.100440,175.117064,131.107164,244.366840,158.745033
gene145,226.159221,149.764976,101.124142,162.787094,305.266051,128.848892,163.179925
gene146,0.000000,0.000000,1.630405,0.000000,0.000000,0.000000,0.213455
gene147,0.341187,43.065379,1.348814,0.000000,0.000000,0.000000,0.000000
gene148,7.522561,0.000000,2.027222,4.598705,0.604927,0.856008,0.000000
gene149,7.195483,1.028161,1.735281,0.332748,13.176353,0.059475,20.914113
gene150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene151,4.913855,0.053290,9.608237,9.346058,1.887034,0.546631,4.959125
gene152,10.564701,4.380539,4.299174,32.144310,0.000000,1.349565,8.295578
gene153,0.000000,0.090882,0.728562,0.180151,0.035758,0.036799,0.699487
gene154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene156,34.568426,170.423307,118.009010,86.016287,315.071628,223.821777,259.460788
gene157,22.115312,18.255578,17.919887,0.379804,18.293857,63.298075,5.787084
gene158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211178
gene159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene160,0.161247,0.000000,0.070830,3.779285,0.000000,19.474451,0.029365
gene161,7.515000,0.025157,0.721773,0.042743,0.000000,0.020373,0.017602
gene162,0.000000,0.000000,0.000000,0.186477,0.000000,0.000000,0.000000
gene163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene164,0.000000,0.086209,7.565641,3.710675,0.000000,5.654862,0.000000
gene165,0.039415,0.000000,0.000000,30.050163,0.000000,0.294139,0.000000
gene166,7.221533,6.191597,1.296362,3.968037,0.384646,0.000000,8.697007
gene167,0.000000,0.000000,0.000000,0.000000,0.000000,0.026306,0.000000
gene168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene169,221.888283,211.047459,305.825195,241.323190,322.765364,148.361655,373.364524
gene170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene171,6.558794,11.082135,34.761426,7.496828,0.000000,47.659959,34.031849
gene172,97.673870,27.363204,48.037345,95.607725,87.073369,48.475396,47.829802
gene173,0.166278,9.348029,10.809888,9.510137,9.126897,23.481670,3.906286
gene174,0.524919,0.750272,0.343913,2.785586,0.014578,2.355319,0.006481
gene175,37.031163,22.989227,26.186999,34.019239,25.543641,24.013242,14.287027
gene176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene177,0.070969,0.000000,0.000000,0.020923,0.000000,0.000000,0.000000
gene178,0.000000,0.000000,37.546429,0.000000,0.000000,0.000000,0.000000
gene179,18.125521,6.909371,40.211262,18.054654,9.786730,8.451140,17.970938
gene180,0.000000,1.174975,1.729348,6.979508,0.000000,7.545711,0.152953
gene181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene183,7.756847,4.301768,16.244932,2.591984,0.000000,33.419869,0.000000
gene184,24.178543,34.676402,14.042354,12.474287,24.760027,39.246217,19.678144
gene185,0.060023,1.187306,0.000000,11.077507,35.601601,12.600732,0.174895
gene186,33.028413,80.416115,19.446617,0.103041,59.939122,3.388708,6.619596
gene187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene189,8.206472,1.553419,8.764336,1.667500,10.347676,4.110381,5.308195
gene190,194.506630,222.832987,260.295990,120.432383,188.238572,137.166369,156.762489
gene191,0.446507,0.557827,0.117681,0.078982,6.255143,0.037645,0.227680
gene192,0.000000,6.966188,0.000000,0.121662,0.000000,5.243725,0.000000
gene193,0.972068,0.123418,2.020414,0.643063,3.224311,0.579684,0.483585
gene194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene195,16.076596,10.877777,0.000000,0.070609,0.098106,8.278928,2.813272
gene196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene198,0.000000,8.807762,0.031228,0.000000,3.611033,0.000000,1.294690
gene199,0.000000,0.000000,0.000000,0.000000,0.000000,0.024822,0.000000
gene200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene201,37.294420,15.917763,32.638675,30.752407,61.651823,25.298984,21.598506
gene202,30.492620,57.890954,31.784737,24.824273,27.687709,21.796589,49.330374
gene203,56.782417,3.543239,10.543497,57.482274,46.482072,6.267330,0.489312
gene204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393899
gene206,0.922969,0.384363,21.893074,0.435372,0.000000,0.155632,23.262990
gene207,0.280307,0.000000,3.970884,0.000000,0.000000,0.000000,0.025523
gene208,0.564653,4.103067,13.456425,16.128381,15.113918,8.967157,11.721716
gene209,11.100914,7.238651,10.168932,15.653189,4.013179,9.325892,6.964152
gene210,0.000000,0.000000,0.000000,4.864910,0.000000,0.000000,3.005136
gene211,0.000000,0.000000,0.000000,6.656882,0.388622,0.000000,0.000000
gene212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene213,195.420939,297.073988,299.403263,326.205230,165.796790,183.068751,269.200894
gene214,0.017521,1.732684,0.000000,0.000000,0.000000,8.301968,0.000000
gene215,6.893428,0.740462,15.164214,0.290329,7.529915,13.445709,6.994297
gene216,54.251506,62.055726,78.214794,127.367554,111.521353,76.419063,167.536076
gene217,27.971508,15.504707,23.525357,5.544523,10.636538,0.160975,5.841529
gene218,171.628984,201.383096,182.381122,175.125946,271.730077,120.665293,158.581032
gene219,6.384334,1.651621,48.881709,15.126138,6.244735,6.198202,48.451785
gene220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene221,387.402237,612.194529,498.407318,351.439769,266.965697,567.317522,349.860611
gene222,0.000000,3.788058,119.360976,212.490306,179.798471,305.367998,252.216909
gene223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene224,227.197760,156.220767,241.375641,150.370275,140.786007,173.491998,269.133862
gene225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene226,0.068989,0.000000,0.000000,1.220341,0.000000,0.000000,0.000000
gene227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene230,1.210330,13.638530,7.974819,20.716906,1.195707,32.023565,0.363041
gene231,202.432369,506.958544,157.619851,249.344804,143.120429,211.019080,323.288599
gene232,61.690349,131.277593,27.867110,0.000000,65.594179,14.201665,33.624267
gene233,0.044378,3.788622,0.000000,7.091281,0.000000,10.738282,0.129311
gene234,7.566719,0.000000,0.054938,24.741248,0.000000,0.000000,0.000000
gene235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene237,53.329461,1.474369,22.132479,22.347627,26.623192,0.157101,1.574555
gene238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene239,15.966843,0.027705,0.771503,19.629434,0.000000,0.403851,0.000000
gene240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene241,31.009096,1.718527,72.197463,74.317991,36.512472,16.402034,42.944307
gene242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene243,0.000000,0.000000,0.000000,0.753242,0.000000,0.000000,0.000000
gene244,0.000000,0.724393,0.032173,0.000000,1.380070,0.000000,3.067799
gene245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene246,0.000000,0.056081,13.960475,0.000000,11.253268,4.359875,0.000000
gene247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019095
gene248,0.000000,45.247831,10.929573,0.047633,0.000000,0.000000,0.000000
gene249,1.316963,23.563759,25.023266,3.069991,17.363106,17.662076,6.269224
gene250,222.968252,103.377955,250.937952,132.589009,313.912757,204.287518,225.062995
gene251,8.083355,19.723966,13.870007,4.617251,17.072971,17.676626,26.589422
gene252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene253,4.613849,3.767057,3.640025,1.493478,0.000000,0.015254,1.252023
gene254,7.372024,0.000000,3.034895,0.000000,0.175058,0.015013,0.000000
gene255,55.696008,129.267981,32.880745,12.630880,75.297647,88.871573,72.958922
gene256,12.543990,4.883163,2.395707,7.203421,18.766067,14.438363,51.091787
gene257,1.835590,19.928366,17.220261,39.348680,5.048292,0.055270,26.693952
gene258,125.325579,97.319441,103.119065,101.053656,97.276101,108.875336,47.114338
gene259,169.441082,239.408296,122.643520,102.615187,162.833498,133.092027,53.126611
gene260,13.035303,17.497594,7.165187,0.000000,2.471841,0.736801,22.047617
gene261,8.077047,10.201856,3.313828,0.000000,0.134358,0.000000,0.000000
gene262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene267,0.000000,0.032763,0.000000,1.577232,0.000000,0.000000,7.954729
gene268,0.000000,0.110880,0.000000,0.000000,0.000000,0.000000,0.000000
gene269,124.953771,71.107396,60.174679,67.764419,36.695879,69.399166,53.082881
gene270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene271,0.000000,0.646784,0.545783,0.000000,3.132039,0.886389,0.000000
gene272,0.000000,0.000000,0.000000,9.656376,0.000000,0.000000,0.000000
gene273,6.336335,0.948160,5.719859,4.101727,11.477413,10.128900,0.832806
gene274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene276,27.200057,108.395586,69.446553,127.168257,70.502166,188.113714,123.673789
gene277,136.150413,61.566909,209.913018,68.908022,56.078905,73.785316,112.193178
gene278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene279,933.467279,528.458672,1288.670489,1062.367129,1596.401586,1101.461613,1266.024930
gene280,75.895500,55.029136,55.857285,26.393244,24.541990,23.973449,17.840662
gene281,0.307846,5.911442,0.000000,0.100842,10.508430,0.201869,15.074680
gene282,161.974651,25.460464,46.694478,33.236292,66.543471,70.946512,34.430718
gene283,0.000000,0.000000,14.293925,0.000000,0.000000,0.000000,0.000000
gene284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene285,0.000000,0.000000,0.000000,0.781066,0.000000,0.000000,0.000000
gene286,3.166600,66.731149,42.023837,28.430296,24.447807,67.350196,28.972678
gene287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene288,0.000000,0.000000,47.739091,11.119874,10.363708,29.628646,19.391274
gene289,0.071427,0.044051,1.170918,2.607100,0.017332,9.506866,1.769047
gene290,7.321085,13.190620,22.467187,57.931352,7.613636,27.677270,47.388866
gene291,8.150505,18.623463,8.856343,24.155507,0.984021,0.000000,13.093213
gene292,15.064166,17.987167,21.982394,20.876038,5.229368,55.179607,50.279963
gene293,0.000000,0.000000,0.000000,11.663974,0.681567,1.091102,31.176873
gene294,29.465621,61.544906,9.656644,20.505336,35.149659,9.539808,15.307436
gene295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene296,31.207145,48.891529,23.855195,33.566069,13.791078,26.639149,18.671208
gene297,88.584787,66.441456,48.936183,59.902338,132.506856,60.331783,70.097556
gene298,0.000000,12.638555,5.187477,0.021625,0.000000,0.000000,0.000000
gene299,4.091701,0.283990,1.437866,1.125875,1.787785,0.229981,0.331177
gene300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene301,0.000000,0.000000,0.056921,0.000000,0.053079,0.000000,0.047197
gene302,0.098539,0.000000,0.086570,0.000000,0.000000,0.000000,0.000000
gene303,0.263195,7.672390,0.115612,0.000000,0.107811,23.410497,50.423820
gene304,15.335316,41.897301,37.809951,18.442892,0.000000,0.934635,29.693440
gene305,3.443984,0.323995,9.292568,0.018664,3.476051,2.267973,7.094093
gene306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene308,30.669225,361.440917,179.856823,233.978187,299.318167,135.248436,176.886943
gene309,0.000000,0.146850,0.000000,0.000000,0.000000,0.000000,0.000000
gene310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene312,93.834540,221.506907,158.312450,152.775442,129.547566,208.589426,142.147869
gene313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene314,0.000000,0.000000,20.832647,13.755088,21.589149,16.957310,0.000000
gene315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene316,0.115831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene317,47.811382,49.380085,0.418363,134.835002,0.000000,11.562999,1.248827
gene318,0.000000,0.000000,0.045453,0.000000,0.000000,0.000000,0.000000
gene319,0.000000,0.000000,0.051792,16.059360,0.000000,0.000000,0.000000
gene320,0.000000,3.599154,0.000000,0.000000,0.000000,0.000000,0.000000
gene321,0.526266,23.119623,18.937303,74.435684,37.105725,15.522456,3.897478
gene322,39.397405,31.426054,28.469750,45.259586,43.141537,35.210068,38.465109
gene323,2.744577,9.342731,4.773171,1.919717,0.000000,6.280749,3.876192
gene324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene326,3.760275,0.000000,0.014118,0.000000,0.000000,0.040645,0.000000
gene327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene328,0.000000,0.000000,7.922476,2.170311,0.000000,11.585539,24.042096
gene329,0.000000,0.000000,0.037819,0.000000,0.000000,0.000000,0.000000
gene330,15.550555,0.919500,8.729017,4.333490,12.584734,0.106375,25.298138
gene331,38.860794,18.304651,19.449403,29.174369,15.213988,20.441029,57.900511
gene332,14.390029,1.322144,4.669957,1.272966,0.490475,0.825968,4.612267
gene333,74.628517,65.312125,100.508165,100.113660,104.112783,190.674820,101.055320
gene334,4.044029,23.672299,5.563786,8.862996,11.064230,15.567975,1.723039
gene335,36.492855,176.236913,70.075187,141.259578,0.380366,164.013555,175.937288
gene336,50.540173,42.569448,29.624108,18.843569,17.191935,66.144271,22.900728
gene337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene338,6.512021,4.682888,0.000000,19.198562,27.279841,4.188478,1.858360
gene339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene340,41.563842,4.062555,73.990953,79.675444,116.466554,92.167476,59.090371
gene341,1.451889,0.000000,0.000000,0.000000,10.008111,0.000000,0.000000
gene342,2.871999,3.898504,7.816642,4.440848,2.202826,0.807116,4.019913
gene343,28.826996,36.306023,15.415422,31.647319,61.970656,16.223463,27.390192
gene344,8.667391,9.518640,11.919824,5.261538,19.909079,9.357917,14.745515
gene345,0.000000,0.000000,3.652272,0.000000,0.000000,0.000000,0.517039
gene346,11.852090,93.885830,25.578280,0.772215,36.095186,64.734199,20.927349
gene347,12.195779,2.116183,28.947512,15.896011,22.875011,45.187973,25.405314
gene348,565.122222,416.210495,462.748515,413.412258,406.113531,528.419512,387.728210
gene349,84.506533,65.323400,32.104389,81.030775,37.916920,107.434668,88.116514
gene350,0.000000,0.000000,0.000000,0.199897,11.165191,29.954773,0.000000
gene351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene352,38.521616,44.852165,47.463938,177.012958,54.343404,81.874533,134.499958
gene353,0.000000,0.000000,0.000000,0.000000,0.016249,0.000000,0.000000
gene354,141.353353,210.955142,318.930229,182.797647,178.750666,196.666268,276.432979
gene355,37.525621,40.098719,78.583985,58.526190,96.283334,78.449975,70.076404
gene356,5.154743,0.156917,8.236185,3.768131,10.001808,0.127075,0.043918
gene357,0.000000,0.000000,1.757809,0.000000,0.000000,0.000000,0.000000
